name,name2,date
XXX,Adygea_Republic__Russia,2020.03.28
XXX,Altai_Krai__Russia,2020.03.30
XXX,Altai_Republic__Russia,2020.04.17
XXX,Amur_Oblast__Russia,2020.03.29
XXX,Arkhangelsk_Oblast__Russia,2020.03.25
XXX,Astrakhan_Oblast__Russia,2020.03.31
XXX,Bashkortostan_Republic__Russia,2020.03.25
XXX,Belgorod_Oblast__Russia,2020.03.25
XXX,Bryansk_Oblast__Russia,2020.03.25
XXX,Buryatia_Republic__Russia,2020.03.27
XXX,Chechen_Republic__Russia,2020.03.25
XXX,Chelyabinsk_Oblast__Russia,2020.03.25
XXX,Chukotka_Autonomous_Okrug__Russia,2020.04.15
XXX,Chuvashia_Republic__Russia,2020.03.25
XXX,Dagestan_Republic__Russia,2020.03.27
XXX,Ingushetia_Republic__Russia,2020.04.04
XXX,Irkutsk_Oblast__Russia,2020.03.29
XXX,Ivanovo_Oblast__Russia,2020.03.25
XXX,Jewish_Autonomous_Okrug__Russia,2020.04.04
XXX,Kabardino-Balkarian_Republic__Russia,2020.03.25
XXX,Kaliningrad_Oblast__Russia,2020.03.25
XXX,Kalmykia_Republic__Russia,2020.03.30
XXX,Kaluga_Oblast__Russia,2020.03.25
XXX,Kamchatka_Krai__Russia,2020.04.06
XXX,Karachay-Cherkess_Republic__Russia,2020.04.07
XXX,Karelia_Republic__Russia,2020.04.06
XXX,Kemerovo_Oblast__Russia,2020.03.25
XXX,Khabarovsk_Krai__Russia,2020.03.25
XXX,Khakassia_Republic__Russia,2020.03.25
XXX,Khanty-Mansi_Autonomous_Okrug__Russia,2020.03.25
XXX,Kirov_Oblast__Russia,2020.03.25
XXX,Komi_Republic__Russia,2020.03.25
XXX,Kostroma_Oblast__Russia,2020.03.28
XXX,Krasnodar_Krai__Russia,2020.03.25
XXX,Krasnoyarsk_Krai__Russia,2020.03.25
XXX,Kurgan_Oblast__Russia,2020.03.25
XXX,Kursk_Oblast__Russia,2020.04.01
XXX,Leningrad_Oblast__Russia,2020.03.25
XXX,Lipetsk_Oblast__Russia,2020.03.25
XXX,Magadan_Oblast__Russia,2020.03.31
XXX,Mari_El_Republic__Russia,2020.03.30
XXX,Mordovia_Republic__Russia,2020.03.27
XXX,Moscow_Oblast__Russia,2020.03.25
XXX,Moscow__Russia,2020.03.06
XXX,Murmansk_Oblast__Russia,2020.03.25
XXX,Nenets_Autonomous_Okrug__Russia,2020.04.15
XXX,Nizhny_Novgorod_Oblast__Russia,2020.03.25
XXX,North_Ossetia_-_Alania_Republic__Russia,2020.04.01
XXX,Novgorod_Oblast__Russia,2020.03.25
XXX,Novosibirsk_Oblast__Russia,2020.03.25
XXX,Omsk_Oblast__Russia,2020.03.29
XXX,Orel_Oblast__Russia,2020.03.25
XXX,Orenburg_Oblast__Russia,2020.03.25
XXX,Penza_Oblast__Russia,2020.03.25
XXX,Perm_Krai__Russia,2020.03.25
XXX,Primorsky_Krai__Russia,2020.03.25
XXX,Pskov_Oblast__Russia,2020.03.25
XXX,Republic_of_Crimea__Russia,2020.03.25
XXX,Rostov_Oblast__Russia,2020.03.25
XXX,Ryazan_Oblast__Russia,2020.03.25
XXX,Saint_Petersburg__Russia,2020.03.05
XXX,Sakha_(Yakutiya)_Republic__Russia,2020.03.25
XXX,Sakhalin_Oblast__Russia,2020.03.28
XXX,Samara_Oblast__Russia,2020.03.25
XXX,Saratov_Oblast__Russia,2020.03.25
XXX,Sevastopol__Russia,2020.03.31
XXX,Smolensk_Oblast__Russia,2020.03.28
XXX,Stavropol_Krai__Russia,2020.03.25
XXX,Sverdlovsk_Oblast__Russia,2020.03.25
XXX,Tambov_Oblast__Russia,2020.03.25
XXX,Tatarstan_Republic__Russia,2020.03.25
XXX,Tomsk_Oblast__Russia,2020.03.25
XXX,Tula_Oblast__Russia,2020.03.25
XXX,Tver_Oblast__Russia,2020.03.25
XXX,Tyumen_Oblast__Russia,2020.03.25
XXX,Tyva_Republic__Russia,2020.04.11
XXX,Udmurt_Republic__Russia,2020.03.25
XXX,Ulyanovsk_Oblast__Russia,2020.03.25
XXX,Vladimir_Oblast__Russia,2020.03.30
XXX,Volgograd_Oblast__Russia,2020.03.25
XXX,Vologda_Oblast__Russia,2020.03.30
XXX,Voronezh_Oblast__Russia,2020.03.25
XXX,Yamalo-Nenets_Autonomous_Okrug__Russia,2020.04.02
XXX,Yaroslavl_Oblast__Russia,2020.03.25
XXX,Zabaykalsky_Krai__Russia,2020.03.25
